School & College Undergraduate Credit Hours 2016,,,,,
,Total,Freshman,Sophomore,Junior,Senior/Special
Architecture,2089,380,314.5,649,745.5
Dentistry,1546,0,40,39,412
Education,1727,0,0,775,952
Engineering,90030,11948,19769.5,22626,35696.5
Kinesiology,13724.5,2536.5,2647.5,4023,4517.5
Literature Science & the Arts,251626.5,63341,58769.5,58181,71335
Music Theater & Dance,13074,3498,2832,2894.5,3849.5
Natural Resources & Environment,0,0,0,0,0
Nursing,10620.5,2573,2464,3101,2482.5
Pharmacy,523,0,0,428,95
Ross School of Business,25476.25,0,8932,8643,7902.25
Stamps School of Art & Design,8276,2434.5,2093,1553,2195.5
